id;category;subcat;language;style;actor;geo_scope;prompt;prompt_id
;;;en;photojournalism, realistic, neutral;;global;"Photojournalistic shot of a busy commuter road at dawn with a hazy skyline; smog and tail-lights suggesting multiple sources of greenhouse gas emissions (transport, industry, power plants) without logos; natural grey light; 35mm, f/5.6, ISO 400, 1/250s; neutral tone, no sensationalism.";1
;;;en;photojournalism, realistic, neutral;;global;"Photojournalistic scene of a mixed meeting table (government, business, civil society) reviewing emissions charts on a screen; identifiable logos and faces avoided, focus on hands, notes and the graph; office fluorescent lighting; 35mm, f/4, ISO 1000; neutral tone.";2
;;;en;photojournalism, realistic, neutral;;global;"Documentary photo of a coastal walkway partially flooded during high tide with sandbags and warning tape; pedestrians navigating shallow water; overcast daylight; 35mm, f/8, ISO 320; neutral tone.";3
;;;en;photojournalism, realistic, neutral;;global;"Photojournalistic image of workers installing solar panels on a warehouse roof; safety vests and tools visible, no brand logos; broken clouds and soft daylight; 28mm, f/8, ISO 200; neutral tone.";4
;;;en;photojournalism, realistic, neutral;;global;"Telephoto documentary shot of refinery stacks and gas flares at dusk emitting plumes; silhouettes against orange sky; 135mm, f/8, ISO 200; neutral tone, no brand marks.";5
;;;en;photojournalism, realistic, neutral;;global;"Documentary photo of a recently cleared patch at the edge of a tropical forest with stacked logs; soil disturbance evident; soft morning light; 35mm, f/8, ISO 400; neutral tone, no dramatic edits.";6
;;;en;photojournalism, realistic, neutral;;global;"Photojournalistic view of a livestock corral and adjacent cropland; methane capture signs absent; farmers doing routine tasks; daylight, gentle contrast; 35mm, f/5.6, ISO 400; neutral tone.";7
;;;en;photojournalism, realistic, neutral;;global;"Documentary photo of an industrial district with factory buildings and delivery trucks; mild haze, functional look; 50mm, f/8, ISO 200; neutral tone, no brand logos.";8
;;;en;photojournalism, realistic, neutral;;global;"Photojournalistic interior of a corporate conference room where bar charts of emissions and sustainability targets are on screen; anonymous silhouettes; office lighting; 35mm, f/4, ISO 800; neutral tone.";9
;;;en;photojournalism, realistic, neutral;;global;"Documentary photo of a government press room with a lectern and policy charts about climate targets on a backdrop; no identifiable emblems; 50mm, f/5.6, ISO 800; neutral tone.";10
;;;en;photojournalism, realistic, neutral;;global;"Photojournalistic image of a financial trading floor with screens showing investment portfolios including green energy indexes; focus on hands at keyboards, charts on screens; 35mm, f/4, ISO 1600; neutral tone, no logos.";11
;;;en;photojournalism, realistic, neutral;;global;"Documentary photo of a large shopping street with illuminated shop windows and crowds carrying multiple bags; evening light, wet pavement reflections; 35mm, f/4, ISO 1000; neutral tone.";12
;;;en;photojournalism, realistic, neutral;;global;"Photojournalistic scene of emergency workers securing a street after a severe storm: fallen branches, water on the asphalt, warning cones; overcast light; 28mm, f/5.6, ISO 800; neutral tone.";13
;;;en;photojournalism, realistic, neutral;;global;"Documentary coastline photo with king tide covering parts of a promenade, benches partially submerged; long, flat horizon; 28mm, f/8, ISO 200; neutral tone.";14
;;;en;photojournalism, realistic, neutral;;global;"Photojournalistic image of a dry riverbed bordering a fragmented woodland; informational signs about protected area; afternoon side light; 35mm, f/8, ISO 400; neutral tone.";15
;;;en;photojournalism, realistic, neutral;;global;"Photojournalistic shot inside a community water distribution point: several people filling containers, a health poster in background; daylight through doorway; 35mm, f/4, ISO 1000; neutral tone, faces not primary subject.";16
;;;en;photojournalism, realistic, neutral;;global;"Documentary photo of a transit depot with multiple electric buses charging under a canopy of chargers; overcast daylight; 28mm, f/8, ISO 400; neutral tone.";17
;;;en;photojournalism, realistic, neutral;;global;"Photojournalistic image of a small peaceful climate demonstration in a public square; handmade signs about emissions reduction; inclusive crowd, no recognizable faces; 28mm, f/5.6, ISO 800; neutral tone.";18
;;;en;photojournalism, realistic, neutral;;global;"Documentary lab scene: researchers calibrating instruments that measure atmospheric samples; lab benches, glassware; white balanced indoor light; 35mm, f/4, ISO 1600; neutral tone.";19
;;;en;photojournalism, realistic, neutral;;global;"Photojournalistic shot of a city hall briefing room where a policy presentation on climate adaptation is projected; audience taking notes; 35mm, f/4, ISO 1600; neutral tone, no emblems.";20
;;;es;photojournalism, realistic, neutral;;global;"Fotografía de una carretera de entrada a ciudad al amanecer con horizonte brumoso; luces traseras y ligera neblina sugieren múltiples fuentes de emisiones (transporte, industria, energía) sin logotipos; luz gris natural; 35mm, f/5.6, ISO 400, 1/250s; tono neutral, sin sensacionalismo.";21
;;;es;photojournalism, realistic, neutral;;global;"Escena fotoperiodística de una mesa de reunión mixta (gobierno, empresas y sociedad civil) revisando gráficos de emisiones en una pantalla; sin logos ni rostros identificables, foco en manos, notas y el gráfico; iluminación de oficina; 35mm, f/4, ISO 1000; tono neutral.";22
;;;es;photojournalism, realistic, neutral;;global;"Foto documental de un paseo costero parcialmente inundado en marea alta con sacos de arena y cinta de advertencia; peatones sorteando agua somera; luz nublada; 35mm, f/8, ISO 320; tono neutral.";23
;;;es;photojournalism, realistic, neutral;;global;"Imagen fotoperiodística de técnicos instalando paneles solares en el tejado de una nave; chalecos y herramientas visibles, sin marcas; nubes rotas y luz suave; 28mm, f/8, ISO 200; tono neutral.";24
;;;es;photojournalism, realistic, neutral;;global;"Toma documental con teleobjetivo de antorchas y chimeneas de refinería al atardecer emitiendo penachos; siluetas sobre cielo naranja; 135mm, f/8, ISO 200; tono neutral, sin marcas.";25
;;;es;photojournalism, realistic, neutral;;global;"Foto documental del borde de un bosque tropical con un claro reciente y troncos apilados; suelo removido; luz suave de mañana; 35mm, f/8, ISO 400; tono neutral sin dramatismo.";26
;;;es;photojournalism, realistic, neutral;;global;"Vista fotoperiodística de un corral de ganado junto a tierras de cultivo; tareas rutinarias de granja; luz diurna de contraste suave; 35mm, f/5.6, ISO 400; tono neutral.";27
;;;es;photojournalism, realistic, neutral;;global;"Foto documental de un polígono industrial con naves, chimeneas y camiones de reparto; ligera neblina; 50mm, f/8, ISO 200; tono neutral, sin logotipos.";28
;;;es;photojournalism, realistic, neutral;;global;"Interior fotoperiodístico de sala de juntas con siluetas anónimas y gráficos de emisiones/objetivos de sostenibilidad en pantalla; luz de oficina; 35mm, f/4, ISO 800; tono neutral.";29
;;;es;photojournalism, realistic, neutral;;global;"Foto documental de sala de prensa gubernamental con atril y gráficos de objetivos climáticos en el fondo; sin emblemas identificables; 50mm, f/5.6, ISO 800; tono neutral.";30
;;;es;photojournalism, realistic, neutral;;global;"Imagen fotoperiodística de una sala de negociación financiera con pantallas que muestran carteras e índices de energía limpia; foco en manos y gráficos; 35mm, f/4, ISO 1600; tono neutral, sin logos.";31
;;;es;photojournalism, realistic, neutral;;global;"Foto documental de una calle comercial muy concurrida con escaparates iluminados y gente con varias bolsas; luz vespertina, reflejos en pavimento húmedo; 35mm, f/4, ISO 1000; tono neutral.";32
;;;es;photojournalism, realistic, neutral;;global;"Escena fotoperiodística de personal de emergencias asegurando una calle tras tormenta fuerte: ramas caídas, agua en el asfalto, conos de advertencia; luz nublada; 28mm, f/5.6, ISO 800; tono neutral.";33
;;;es;photojournalism, realistic, neutral;;global;"Foto documental de costa con marea viva cubriendo parte del paseo; bancos parcialmente sumergidos; horizonte plano; 28mm, f/8, ISO 200; tono neutral.";34
;;;es;photojournalism, realistic, neutral;;global;"Imagen fotoperiodística de cauce seco junto a un bosque fragmentado; carteles informativos de área protegida; luz lateral de tarde; 35mm, f/8, ISO 400; tono neutral.";35
;;;es;photojournalism, realistic, neutral;;global;"Foto fotoperiodística dentro de un punto comunitario de distribución de agua: varias personas llenando bidones, cartel sanitario al fondo; luz natural por la puerta; 35mm, f/4, ISO 1000; tono neutral, rostros no protagonistas.";36
;;;es;photojournalism, realistic, neutral;;global;"Foto documental de un intercambiador con varios autobuses eléctricos cargando bajo marquesina de cargadores; luz nublada; 28mm, f/8, ISO 400; tono neutral.";37
;;;es;photojournalism, realistic, neutral;;global;"Imagen fotoperiodística de una pequeña manifestación climática pacífica en una plaza pública; carteles hechos a mano sobre reducción de emisiones; diversidad, sin rostros reconocibles; 28mm, f/5.6, ISO 800; tono neutral.";38
;;;es;photojournalism, realistic, neutral;;global;"Escena documental de laboratorio: investigadores calibrando instrumentos para medir muestras atmosféricas; bancos y material de vidrio; luz interior balanceada; 35mm, f/4, ISO 1600; tono neutral.";39
;;;es;photojournalism, realistic, neutral;;global;"Foto fotoperiodística de un auditorio municipal donde se proyecta una presentación de adaptación climática; asistentes tomando notas; 35mm, f/4, ISO 1600; tono neutral, sin emblemas.";40
